place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,ward_number,population,households,area_sqkm,population_density,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,road_feature_source,dataset_count_raw_files,combined_at
osm_2006419428,Aabhusan Cafe,27.712805,85.32775,cafe,,,,True,openstreetmap,11.0,2.0,0.0,307.75,18.0,280.47,9.0,1.0,173.96,3.0,287.46,1.0,355.39,45.84,3.02,7.7,7.5,1,6225,1383,1.3,4788,22,1,173.96,16,5,17.08,0,0,1250.5,10,1,197.9,3770.7,9,0,4729,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_10973663605,Chiya Ghar,27.7075147,85.3231409,cafe,,,,True,openstreetmap,23.0,13.0,0.0,214.36,10.0,304.17,15.0,2.0,74.75,5.0,203.68,2.0,79.62,77.67,3.75,10.0,10.0,1,6225,1383,1.3,4788,43,6,74.75,14,3,59.64,0,0,638.73,22,12,48.26,3617.55,19,2,17395,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_2097704747,Coffee Express,27.710668,85.3177124,cafe,,,,True,openstreetmap,26.0,8.0,0.0,252.76,29.0,267.82,13.0,1.0,132.43,3.0,294.78,3.0,187.95,63.66,4.44,9.5,10.0,1,6225,1383,1.3,4788,24,2,126.12,5,0,294.78,1,0,276.59,24,7,18.61,3747.39,10,1,14253,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4890884826,Coffee Pasal,27.7126275,85.3174486,cafe,,,,True,openstreetmap,30.0,6.0,0.0,316.88,24.0,206.68,9.0,0.0,348.28,1.0,320.94,2.0,154.2,36.92,4.76,3.7,10.0,1,6225,1383,1.3,4788,15,0,341.62,3,0,275.45,1,0,255.29,28,4,6.45,3813.96,5,0,300,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_1898521001,Espression the cafe,27.7150782,85.3265014,cafe,,,,True,openstreetmap,18.0,2.0,0.0,293.89,14.0,293.58,7.0,1.0,187.62,3.0,62.26,1.0,432.3,40.74,2.66,7.1,10.0,1,6225,1383,1.3,4788,15,2,182.91,12,4,62.26,0,0,1184.71,17,1,192.07,3850.89,7,1,4628,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_9450093517,Fresh Bite Cafe,27.7092816,85.3248981,cafe,,,,True,openstreetmap,26.0,4.0,0.0,325.51,13.0,254.31,8.0,1.0,85.0,6.0,345.08,2.0,138.32,66.21,4.34,7.4,10.0,1,6225,1383,1.3,4788,29,7,40.69,14,1,88.21,0,0,866.94,25,3,70.25,3655.07,13,5,10256,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_6056855122,Himalayan Beanz barista and bakery school,27.7085974,85.3259225,cafe,,,,True,openstreetmap,24.0,6.0,0.0,314.45,13.0,294.0,12.0,1.0,182.36,6.0,292.25,2.0,154.39,76.39,3.73,10.0,10.0,1,6225,1383,1.3,4788,34,7,60.77,12,1,189.59,0,0,934.91,23,5,122.3,3639.97,13,4,5695,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_3076357353,Himalayan Java,27.7069817,85.323031,cafe,,,,True,openstreetmap,22.0,12.0,0.0,193.46,9.0,324.22,19.0,2.0,44.02,8.0,143.66,2.0,40.39,106.95,3.26,10.0,10.0,1,6225,1383,1.3,4788,48,5,44.02,22,6,19.06,0,0,616.36,21,11,12.0,3607.64,20,1,17898,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_9407484722,Himalayan Java Coffee,27.710216,85.3219827,cafe,,,,True,openstreetmap,29.0,1.0,0.0,373.73,20.0,334.07,6.0,0.0,252.26,0.0,500.0,3.0,366.8,26.74,2.67,2.7,10.0,1,6225,1383,1.3,4788,22,0,244.26,6,0,293.31,0,0,680.14,28,0,225.75,3688.65,11,0,7675,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_2166593496,Magic Beans,27.7105055,85.3177578,cafe,,,,True,openstreetmap,28.0,8.0,0.0,270.51,29.0,272.85,13.0,1.0,115.68,3.0,302.08,3.0,176.26,63.66,4.39,8.0,10.0,1,6225,1383,1.3,4788,26,2,109.54,5,0,301.89,2,0,288.04,26,7,18.61,3742.12,11,1,16053,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_1898414114,Old House Cafe,27.7138792,85.3249137,cafe,,,,True,openstreetmap,16.0,2.0,0.0,343.52,18.0,378.85,4.0,1.0,46.93,2.0,192.93,1.0,447.97,26.74,1.59,5.8,10.0,1,6225,1383,1.3,4788,9,2,46.93,12,3,96.32,0,0,996.48,15,1,33.63,3801.41,4,1,2791,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_10591329467,Penthouse Rooftop Bar & Lounge,27.7129871,85.3175913,cafe,,,,True,openstreetmap,26.0,6.0,0.0,308.11,24.0,212.9,8.0,0.0,388.42,1.0,355.83,2.0,122.88,34.38,4.66,3.4,10.0,1,6225,1383,1.3,4788,13,0,381.8,4,0,257.95,1,0,286.98,24,4,35.97,3824.7,5,0,300,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4293343214,Red pepper cafe,27.7174713,85.3273617,cafe,,,,True,openstreetmap,19.0,7.0,0.0,262.43,13.0,364.18,11.0,1.0,69.99,3.0,255.83,1.0,302.4,50.93,2.16,8.3,10.0,1,6225,1383,1.3,4788,22,2,67.2,17,1,80.9,0,0,1369.61,18,6,38.83,3959.16,11,1,3416,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_2166592516,The Coffee Shop,27.7113258,85.3173738,cafe,,,,True,openstreetmap,31.0,11.0,0.0,293.9,28.0,246.66,11.0,0.0,203.77,1.0,261.18,3.0,239.05,45.84,4.64,6.1,10.0,1,6225,1383,1.3,4788,19,1,197.07,3,0,261.18,1,0,224.55,29,9,80.38,3772.31,7,1,13700,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4767236880,Unknown Cafe,27.712684,85.3174635,cafe,,,,True,openstreetmap,30.0,6.0,0.0,319.2,24.0,207.38,9.0,0.0,354.55,1.0,325.7,2.0,149.55,36.92,4.75,3.7,10.0,1,6225,1383,1.3,4788,15,0,347.9,3,0,273.07,1,0,259.41,28,4,6.45,3815.73,5,0,300,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4846949123,Unknown Cafe,27.7121939,85.3213096,cafe,,,,True,openstreetmap,21.0,1.0,0.0,385.14,24.0,360.46,3.0,0.0,433.55,0.0,500.0,1.0,285.61,11.46,2.25,1.2,10.0,1,6225,1383,1.3,4788,10,0,387.59,4,1,141.87,0,0,612.88,19,0,229.7,3754.42,5,0,2906,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4903561323,Unknown Cafe,27.7125117,85.3185407,cafe,,,,True,openstreetmap,22.0,6.0,0.0,293.57,28.0,264.68,5.0,0.0,351.38,1.0,409.1,2.0,100.99,26.74,4.14,2.5,10.0,1,6225,1383,1.3,4788,9,0,345.4,3,1,173.91,1,0,351.22,20,4,107.37,3793.98,3,0,0,enriched,8,2026-03-23T08:51:12.926897+00:00
osm_4916380621,Unknown Cafe,27.7171524,85.3254913,cafe,,,,True,openstreetmap,15.0,7.0,0.0,229.02,9.0,391.52,9.0,1.0,130.28,3.0,175.64,1.0,480.91,45.84,1.22,7.7,10.0,1,6225,1383,1.3,4788,19,2,130.28,12,2,175.64,0,0,1192.07,14,6,41.32,3940.76,10,1,2156,enriched,8,2026-03-23T08:51:12.926897+00:00
