place_id,name,type,source,lat,lng,ward_number,population,households,area_sqkm,population_density,population_density_proxy,rating,review_count,price_level,has_rating,log_review_count,rating_review_signal,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,education_points_within_500m,education_points_within_200m,education_students_within_500m,education_intensity_score,accessibility_score,foot_traffic_score,competition_pressure,location_density_score,ward_population_log,road_feature_source,is_operational,computed_schools_within_500m,computed_schools_within_200m,computed_schools_min_distance,computed_hospitals_within_500m,computed_hospitals_within_200m,computed_hospitals_min_distance,computed_bus_stops_within_500m,computed_bus_stops_within_200m,computed_bus_stops_min_distance,computed_competitors_within_500m,computed_competitors_within_200m,computed_competitors_min_distance,computed_competitors_avg_distance,dataset_count_raw_files,combined_at
osm_10004776887,8 किशोर क्याफे,cafe,openstreetmap,27.6690092,85.3494937,32.0,83390.0,18531.0,4.4,18952.0,18.952,0.0,0.0,0.0,0,0.0,0.0,7.0,2.0,0.0,299.88,1.0,190.45,9.0,3.0,52.76,0.0,500.0,0.0,500.0,7,1,2141,4.4339,0.37,4.7,4.96,8.3892,11.3313,enriched,True,16,4,52.76,2,1,22.37,0,0,800.28,12,1,130.59,5010.8,8,2026-03-23T08:50:30.648265+00:00
osm_10004776907,ताहारो क्याफे,cafe,openstreetmap,27.6744633,85.3526165,32.0,83390.0,18531.0,4.4,18952.0,18.952,0.0,0.0,0.0,0,0.0,0.0,4.0,2.0,0.0,229.8,10.0,132.13,6.0,1.0,169.66,5.0,61.47,4.0,113.86,7,1,2050,4.4252,7.15,8.5,3.05,11.7532,11.3313,enriched,True,13,2,169.66,5,3,61.47,0,0,993.29,6,1,144.9,4822.21,8,2026-03-23T08:50:30.648265+00:00
osm_10004786529,जे. के. क्याफे,cafe,openstreetmap,27.6700281,85.3501531,32.0,83390.0,18531.0,4.4,18952.0,18.952,0.0,0.0,0.0,0,0.0,0.0,7.0,3.0,0.0,257.07,1.0,202.89,10.0,3.0,156.74,1.0,407.56,0.0,500.0,8,1,2391,4.806,0.36,5.4,4.96,8.6312,11.3313,enriched,True,18,4,156.74,3,1,134.94,0,0,803.64,12,2,130.59,4971.19,8,2026-03-23T08:50:30.648265+00:00
osm_10005438010,गुरु क्याफे,cafe,openstreetmap,27.7369224,85.3193955,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,12.0,1.0,185.08,5371.61,8.0,1500.0,25.0,3.0,28.52,17.0,169.87,0.0,780.29,8,0,4700,4.4911,2.5,5.57125,3.6,7.8463,10.5348,fallback,True,25,3,28.52,17,5,169.87,0,0,780.29,12,1,185.08,5371.61,8,2026-03-23T08:50:30.648265+00:00
osm_10007291667,R .J cafe,cafe,openstreetmap,27.7391083,85.3165312,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,12.0,2.0,59.36,5617.72,8.0,1500.0,11.0,4.0,119.94,21.0,191.83,0.0,646.3,0,0,0,0.0,2.5,5.57125,3.6,7.8463,10.5348,fallback,True,11,4,119.94,21,1,191.83,0,0,646.3,12,2,59.36,5617.72,8,2026-03-23T08:50:30.648265+00:00
osm_10010484029,Cafe Tree Netra,cafe,openstreetmap,27.7369324,85.3227653,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,9.0,3.0,15.16,5326.75,8.0,1500.0,16.0,5.0,100.72,21.0,16.58,0.0,1104.55,4,2,2550,3.8688,2.5,5.57125,2.7,7.8463,10.5348,fallback,True,16,5,100.72,21,4,16.58,0,0,1104.55,9,3,15.16,5326.75,8,2026-03-23T08:50:30.648265+00:00
osm_10010484033,Green City Cafe,cafe,openstreetmap,27.7370038,85.3228965,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,10.0,3.0,15.16,5331.55,8.0,1500.0,16.0,5.0,115.87,20.0,1.43,0.0,1118.69,4,2,2550,3.8688,2.5,5.57125,3.0,7.8463,10.5348,fallback,True,16,5,115.87,20,4,1.43,0,0,1118.69,10,3,15.16,5331.55,8,2026-03-23T08:50:30.648265+00:00
osm_10011219675,Snooker Cafe,cafe,openstreetmap,27.7354999,85.3076783,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,225.07,5575.57,8.0,1500.0,28.0,2.0,94.55,12.0,123.06,9.0,154.74,12,0,5231,5.9125,5.0,5.57125,1.2,8.5963,10.5348,fallback,True,28,2,94.55,12,2,123.06,9,4,154.74,4,0,225.07,5575.57,8,2026-03-23T08:50:30.648265+00:00
osm_10011697901,Shrijana Special Chiya Pasal,cafe,openstreetmap,27.7464696,85.3261832,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,3.0,2.0,83.57,6183.36,8.0,1500.0,3.0,1.0,63.45,12.0,70.06,0.0,1227.97,0,0,0,0.0,1.45,5.57125,0.9,7.5313,10.5348,fallback,True,3,1,63.45,12,2,70.06,0,0,1227.97,3,2,83.57,6183.36,8,2026-03-23T08:50:30.648265+00:00
osm_10011697915,3 Star Coffee and Crunch,cafe,openstreetmap,27.7463759,85.3270258,,37599.0,8355.0,2.2,14704.0,14.704,0.0,0.0,0.0,0,0.0,0.0,4.0,2.0,15.3,6171.44,8.0,1500.0,4.0,1.0,21.64,13.0,16.47,0.0,1152.81,0,0,0,0.0,1.6,5.57125,1.2,7.5763,10.5348,fallback,True,4,1,21.64,13,1,16.47,0,0,1152.81,4,2,15.3,6171.44,8,2026-03-23T08:50:30.648265+00:00
