suite,split,model,target_name,train_rows,test_rows,mae,rmse,r2,prediction_min,prediction_max
observed,80_20,ensemble,actual_score,,215,2.3742,3.6925,0.975,18.337,92.1294
observed,80_20,rf,observed_outcome_score,857.0,215,1.9755,3.4845,0.9777,17.7083,91.7578
observed,80_20,xgb,observed_outcome_score,857.0,215,1.8317,2.992,0.9836,17.5324,93.3276
observed,85_15,ensemble,actual_score,,161,1.6871,2.7209,0.9863,18.153,93.3411
observed,85_15,rf,observed_outcome_score,911.0,161,1.799,3.0699,0.9826,18.1443,92.7817
observed,85_15,xgb,observed_outcome_score,911.0,161,1.6672,2.6195,0.9873,17.552,93.9004
pseudo,80_20,ensemble,actual_score,,215,0.8816,1.2106,0.9834,0.0091,34.5681
pseudo,80_20,rf,derived_suitability_score,857.0,215,0.9129,1.3854,0.9782,0.0039,35.3605
pseudo,80_20,xgb,derived_suitability_score,857.0,215,0.5739,0.8687,0.9914,0.0,35.4845
pseudo,85_15,ensemble,actual_score,,161,0.6841,1.0434,0.9876,0.0014,31.644
pseudo,85_15,rf,derived_suitability_score,911.0,161,0.8544,1.3156,0.9803,0.0028,31.3094
pseudo,85_15,xgb,derived_suitability_score,911.0,161,0.5552,0.8737,0.9913,0.0,31.9786
