feature,importance
competitors_avg_distance,0.6668861061095617
schools_within_500m,0.15319063877323824
population_density_proxy,0.11716954436791598
foot_traffic_score,0.02242600093640539
competitors_within_500m,0.005294521650496482
bus_stops_within_500m,0.004725738575455562
schools_min_distance,0.004544341842742887
bus_stops_min_distance,0.0035837281242352965
roads_avg_distance,0.0035285946966807018
accessibility_score,0.0032287156220968394
hospitals_min_distance,0.0030094254799610458
roads_within_500m,0.002426283843521428
competition_pressure,0.0023800467684992506
schools_within_200m,0.002295899792798761
hospitals_within_500m,0.0021600634957322194
competitors_min_distance,0.0017982454579984534
competitors_within_200m,0.0013521044626596472
