feature,importance
competitors_avg_distance,0.40016430616378784
competitors_min_distance,0.137132465839386
population_density_proxy,0.12952345609664917
foot_traffic_score,0.12892819941043854
schools_within_500m,0.12559440732002258
bus_stops_within_500m,0.02335934527218342
schools_within_200m,0.008468537591397762
competitors_within_500m,0.00805979035794735
hospitals_within_500m,0.008041543886065483
hospitals_min_distance,0.00522998720407486
accessibility_score,0.0048901415430009365
competition_pressure,0.004281886853277683
schools_min_distance,0.004117112141102552
roads_within_500m,0.0037445412017405033
bus_stops_min_distance,0.0035089210141450167
competitors_within_200m,0.0033386889845132828
roads_avg_distance,0.0016167140565812588
