feature,importance
competition_pressure,0.6230862736701965
population_density_proxy,0.09160110354423523
competitors_within_200m,0.07163004577159882
foot_traffic_score,0.0606837160885334
competitors_within_500m,0.05640177056193352
bus_stops_within_500m,0.021359849721193314
accessibility_score,0.019811319187283516
roads_within_500m,0.012977983802556992
bus_stops_min_distance,0.011068911291658878
roads_avg_distance,0.009791465476155281
schools_within_500m,0.005756836384534836
hospitals_min_distance,0.005697440821677446
hospitals_within_500m,0.0033561019226908684
competitors_min_distance,0.0030595455318689346
competitors_avg_distance,0.001364252413623035
schools_min_distance,0.001298624323680997
schools_within_200m,0.0010548203717917204
