feature,importance
competition_pressure,0.5747434364046937
competitors_within_200m,0.1044429751873413
competitors_within_500m,0.0980938154278615
population_density_proxy,0.07813629732073532
foot_traffic_score,0.05009957191269227
accessibility_score,0.029022142872441425
bus_stops_min_distance,0.01376403098155828
roads_within_500m,0.010133873006415797
bus_stops_within_500m,0.008216879654392065
schools_within_500m,0.00585075552228159
roads_avg_distance,0.005255684575975674
schools_min_distance,0.005072301868681258
hospitals_min_distance,0.004976897291427283
competitors_min_distance,0.004310200895790998
competitors_avg_distance,0.0037110924934396997
hospitals_within_500m,0.0026430167050675683
schools_within_200m,0.0015270278792043268
